Reference_residue_cont -4.32931e-05
Reference_residue_mom 0.000300734
0.00872441 -0.00828043 0.0177045
0.0185283 -0.00712846 0.0191447
0.0284202 -0.00589905 0.0204187
0.0383981 -0.00462065 0.0215259
0.0483591 -0.00327679 0.0224494
0.0583429 -0.00190411 0.0231975
0.0681944 -0.000477245 0.0237504
0.0780369 0.000960942 0.0241291
0.0875891 0.00243224 0.0243051
0.0970499 0.00382862 0.0243371
0.10623 0.00525377 0.0241653
0.115518 0.00666951 0.0238291
0.124318 0.00812875 0.023278
0.133262 0.00951575 0.0226026
0.14149 0.0109257 0.0217069
0.150116 0.0122408 0.0207192
0.1577 0.0135785 0.0194925
0.166122 0.014818 0.018221
0.17294 0.016045 0.0166755
0.181423 0.0171802 0.0151519
0.187284 0.0182525 0.0132887
0.196344 0.019308 0.011547
0.200899 0.020099 0.00932346
0.21153 0.0211076 0.00741696
0.213994 0.0212288 0.00474928
0.227826 0.0218396 0.00284488
0.325184 -5.76142e-05 -0.0175665
0.32551 -0.000575652 -0.0191032
0.32656 -0.000575372 -0.020854
0.327058 -0.000378576 -0.0223899
0.327525 -0.0003232 -0.0239203
0.327871 -0.000309823 -0.0254695
0.328321 -0.000321593 -0.0270266
0.328668 -0.000330934 -0.0286036
0.329179 -0.000360089 -0.0301883
0.329564 -0.000378887 -0.031796
0.330165 -0.000421966 -0.0334113
0.33061 -0.000455171 -0.0350551
0.331352 -0.000517203 -0.0367082
0.331885 -0.000564473 -0.0383983
0.332821 -0.000647479 -0.0400995
0.333472 -0.000715564 -0.0418492
0.334681 -0.000827539 -0.0436123
0.335484 -0.000924974 -0.0454409
0.337082 -0.00107444 -0.0472856
0.338072 -0.00121799 -0.0492202
0.340237 -0.0014183 -0.051173
0.341442 -0.00164246 -0.0532542
0.344484 -0.00191346 -0.0553524
0.345894 -0.00230651 -0.0576438
0.350414 -0.00269582 -0.0599397
0.35192 -0.00353781 -0.0625458
0.359223 -0.00426334 -0.0650974
0.36035 -0.0067293 -0.0680817
0.373013 -0.00953948 -0.0704703
0.362038 -0.018445 -0.0727721
0.313476 -0.0274252 -0.0726409
0.231344 -0.0314568 -0.0690515
0.124799 -0.0197294 -0.0637293
0.0432232 0.000309528 -0.0580805
0.00178612 0.011018 -0.0539485
-0.0144053 0.015871 -0.0516906
-0.021623 0.0183958 -0.0499804
-0.024117 0.0189902 -0.0488313
-0.0248207 0.0189934 -0.0479551
-0.0245583 0.0186107 -0.0473072
-0.0239751 0.0181896 -0.0467976
-0.0232965 0.0177562 -0.0463921
-0.0226749 0.0172774 -0.0460528
-0.0220296 0.0165562 -0.0457536
-0.0214125 0.0154508 -0.0455075
-0.0201966 0.0136735 -0.0452445
-0.0190484 0.0112281 -0.0450814
-0.019058 0.00904127 -0.0449965
-0.0199889 0.00721051 -0.0449394
-0.0214731 0.00576695 -0.0449063
-0.0239096 0.00474271 -0.0449107
-0.0267729 0.00418794 -0.044865
-0.0293328 0.00379384 -0.0448387
-0.0318048 0.00352431 -0.0447927
-0.0341173 0.00332851 -0.0447408
-0.036335 0.00318004 -0.0446772
-0.0384562 0.00305995 -0.0446043
-0.0405003 0.00295809 -0.0445212
-0.0424731 0.00286822 -0.0444284
-0.0443823 0.0027867 -0.0443257
-0.0462321 0.00271109 -0.0442133
-0.0480266 0.00264001 -0.0440911
-0.0497688 0.0025725 -0.0439593
-0.0514613 0.00250832 -0.0438177
-0.0531068 0.00244749 -0.0436665
-0.0547083 0.00239076 -0.0435058
-0.0562688 0.0023389 -0.0433354
-0.0577925 0.0022936 -0.0431557
-0.0592839 0.00225618 -0.0429667
-0.0607488 0.00222892 -0.0427683
-0.0621937 0.00221321 -0.0425608
-0.0636259 0.00221127 -0.0423441
-0.0650532 0.00222324 -0.0421181
-0.0664829 0.00224983 -0.041883
-0.0679217 0.00228781 -0.0416382
-0.0693737 0.00233415 -0.0413838
-0.0708396 0.00237893 -0.0411189
-0.0723144 0.00241175 -0.0408431
-0.0737865 0.00241109 -0.0405553
-0.0752338 0.00235688 -0.040255
-0.0766279 0.0022067 -0.0399412
-0.0779242 0.00192668 -0.0396139
-0.0790921 0.00143824 -0.0392758
-0.0800415 0.000712886 -0.0389176
-0.0809671 -0.000439796 -0.0385964
-0.0812362 -0.00164828 -0.0381275
-0.0830579 -0.0038937 -0.0380321
-0.0877969 -0.00432882 -0.0375916
-0.0906959 -0.00539641 -0.0373234
-0.0943773 -0.00599572 -0.0369003
-0.0973657 -0.00666347 -0.0364746
-0.100441 -0.00725736 -0.0359698
-0.103188 -0.0078446 -0.0354188
-0.105793 -0.00842099 -0.0347989
-0.108128 -0.00899369 -0.0341159
-0.110225 -0.00956852 -0.0333604
-0.112028 -0.0101453 -0.032531
-0.113526 -0.0107266 -0.0316219
-0.114678 -0.011311 -0.0306297
