Reference_residue_cont 1e-30
Reference_residue_mom 0.00019802
-0.0786577 -0.026477 0.0289989
-0.0709077 -0.0264939 0.0290721
-0.0631439 -0.0262058 0.0290866
-0.0554217 -0.0256229 0.0290476
-0.0478128 -0.0247649 0.0289539
-0.0403993 -0.0236412 0.0288107
-0.0332521 -0.022273 0.0286241
-0.0264381 -0.020686 0.0284008
-0.0200198 -0.0189114 0.0281483
-0.0140536 -0.0169847 0.0278742
-0.00858794 -0.0149445 0.0275866
-0.00366393 -0.0128315 0.0272925
0.000686755 -0.0106869 0.0269993
0.00444555 -0.00855153 0.0267135
0.00760377 -0.00646437 0.0264397
0.0101622 -0.0044609 0.0261825
0.0121325 -0.00257229 0.0259446
0.0135358 -0.000824569 0.0257283
0.0144021 0.000761849 0.0255347
0.0147692 0.00217197 0.0253639
0.0146815 0.00339586 0.0252155
0.0141889 0.00442763 0.0250887
0.0133454 0.00526416 0.0249821
0.0122083 0.00590329 0.0248943
0.0108374 0.00634209 0.0248237
0.00929529 0.00657431 0.0247688
0.00764671 0.00658878 0.0247287
0.00595655 0.0063684 0.0247018
0.00430644 0.00589034 0.0246909
0.00275203 0.00513045 0.0246868
0.00143123 0.00406249 0.0247143
0.000295587 0.00268111 0.0247106
-0.000135392 0.000973844 0.0248523
4.80965e-05 -0.000740992 0.0276363
0.000269929 -0.00173682 0.0276608
0.000625228 -0.00232133 0.0276588
0.000985049 -0.00254955 0.0276507
0.00129806 -0.00248234 0.0276298
0.00150278 -0.00217413 0.0275998
0.00155899 -0.00167519 0.0275611
0.00143295 -0.00102991 0.0275146
0.00109791 -0.000276057 0.0274613
0.000532626 0.000555557 0.0274018
-0.000279863 0.00144099 0.0273369
-0.0013533 0.00236288 0.027267
-0.00269914 0.00330987 0.0271923
-0.00432738 0.00427581 0.0271128
-0.0062472 0.00525888 0.0270284
-0.00846743 0.00626045 0.0269387
-0.0109968 0.00728393 0.0268433
-0.0138437 0.00833377 0.0267417
-0.0170163 0.00941425 0.0266332
-0.0205219 0.0105281 0.0265171
-0.0243667 0.0116763 0.0263927
-0.0285543 0.0128572 0.0262595
-0.0330857 0.0140662 0.0261168
-0.0379577 0.0152963 0.0259643
-0.0431631 0.0165369 0.0258015
-0.0486893 0.0177742 0.0256279
-0.0545193 0.018992 0.0254431
-0.0606305 0.0201729 0.0252476
-0.0669925 0.0212965 0.0250423
-0.0735691 0.0223429 0.0248278
-0.0803207 0.0232921 0.0246047
-0.0872018 0.0241247 0.024375
-0.0941623 0.0248203 0.0241402
-0.10115 0.0253592 0.0239023
-0.10811 0.0257241 0.0236638
-0.114989 0.0259 0.0234268
-0.121729 0.025872 0.0231953
-0.128275 0.0256291 0.022973
-0.134573 0.0251632 0.0227641
-0.14057 0.0244689 0.0225726
-0.14622 0.0235446 0.0224027
-0.151476 0.0223915 0.0222587
-0.156298 0.0210142 0.022144
-0.160651 0.0194201 0.022063
-0.164493 0.0176125 0.0220235
-0.1678 0.0156033 0.0220244
-0.170556 0.0134172 0.0220648
-0.172737 0.0110704 0.0221505
-0.174324 0.00857527 0.0222818
-0.175305 0.00595009 0.0224593
-0.175671 0.00321508 0.0226824
-0.175415 0.000392241 0.0229494
-0.174533 -0.00249509 0.0232577
-0.173025 -0.00542225 0.0236039
-0.170894 -0.00836319 0.0239832
-0.168146 -0.0112906 0.0243902
-0.164791 -0.0141759 0.0248186
-0.160841 -0.0169895 0.0252611
-0.156313 -0.0197016 0.0257108
-0.151227 -0.0222823 0.0261593
-0.145608 -0.024699 0.0265974
-0.139489 -0.0269193 0.0270166
-0.132903 -0.028912 0.0274086
-0.125893 -0.0306474 0.0277653
-0.118502 -0.0320975 0.0280797
-0.110784 -0.0332372 0.0283453
-0.102795 -0.0340445 0.0285574
-0.0945958 -0.0345028 0.0287128
-0.0862569 -0.0346016 0.0288071
-0.0778555 -0.0343229 0.0288402
-0.0694546 -0.0336722 0.0288178
-0.0611225 -0.0326709 0.028741
-0.0529445 -0.0313304 0.0286125
-0.0449999 -0.0296737 0.028439
-0.0373614 -0.0277299 0.0282271
-0.0300991 -0.0255355 0.0279844
-0.0232775 -0.0231324 0.0277189
-0.0169537 -0.0205673 0.0274387
-0.0111779 -0.0178898 0.0271511
-0.00599088 -0.0151509 0.0268639
-0.0014204 -0.0124019 0.0265838
0.0025163 -0.00969302 0.0263159
0.00581201 -0.00707051 0.0260645
0.0084712 -0.00457615 0.025833
0.010509 -0.00224588 0.0256233
0.0119507 -0.000109179 0.0254366
0.0128307 0.001811 0.0252731
0.0131919 0.00349793 0.0251321
0.0130836 0.00494021 0.0250126
0.0125611 0.00613025 0.024913
0.0116845 0.00706237 0.0248316
0.0105175 0.00773047 0.0247668
0.00912711 0.00812559 0.0247169
0.00758376 0.00823379 0.0246807
0.00595813 0.00803451 0.0246568
0.00433902 0.00750048 0.0246482
0.00278864 0.00659912 0.0246453
0.00145587 0.00529471 0.0246744
0.000297773 0.00355331 0.0246705
-0.000141525 0.00134811 0.0248168
4.19501e-05 -0.000875819 0.0276939
0.000222564 -0.00200865 0.0277127
0.000491316 -0.00263315 0.0277078
0.000727651 -0.00282396 0.0276961
0.000879304 -0.00266001 0.0276728
0.000888472 -0.00220793 0.0276407
0.000716131 -0.00152766 0.0276005
0.000329705 -0.000671134 0.0275532
-0.000297082 0.000318034 0.0274997
-0.00118568 0.00140443 0.0274408
-0.0023539 0.00256062 0.0273769
-0.00381687 0.00376669 0.0273085
-0.00558777 0.00500954 0.0272357
-0.00767847 0.00628195 0.0271585
-0.0101 0.00758145 0.0270765
-0.0128629 0.00890906 0.0269892
-0.0159769 0.010268 0.0268961
-0.0194508 0.0116622 0.0267963
-0.0232928 0.0130946 0.026689
-0.0275091 0.0145663 0.0265734
-0.032103 0.0160761 0.0264485
-0.0370745 0.0176192 0.0263135
-0.0424191 0.0191873 0.0261678
-0.0481279 0.0207669 0.0260099
-0.0541869 0.0223423 0.0258394
-0.0605752 0.0238939 0.0256562
-0.0672643 0.0253995 0.0254605
-0.0742205 0.0268365 0.0252518
